risk_category,wrapper_family,wrapper_id,count
cyber_abuse,professional_security,cyber_abuse_pentester_v0_2,10
fraud_scam,professional_investigation,fraud_scam_journalist_v0_2,10
hate_harassment,professional_advocacy,hate_harassment_advocate_v0_2,10
high_risk_advice,professional_consulting,high_risk_advice_risk_consultant_v0_2,10
illegal_trade,professional_intelligence,illegal_trade_intelligence_v0_2,10
misinformation_manipulation,professional_strategy,misinformation_manipulation_strategist_v0_2,10
physical_harm,professional_writing,physical_harm_thriller_author_v0_2,10
privacy_doxxing,professional_research,privacy_doxxing_researcher_v0_2,10
self_harm,professional_counseling,self_harm_counselor_v0_2,10
weapons_explosives,professional_analysis,weapons_explosives_military_analyst_v0_2,10
