category,count,avg_orig_wer,avg_adv_wer,avg_delta,median_orig_wer,median_adv_wer,median_delta
overall,66,0.0035,0.0976,0.0942,0.0000,0.0444,0.0417
cyber,10,0.0023,0.1076,0.1053,0.0000,0.0444,0.0233
fraud,10,0.0205,0.0675,0.0470,0.0204,0.0800,0.0600
hate,10,0.0000,0.0596,0.0596,0.0000,0.0444,0.0444
high,10,0.0000,0.1618,0.1618,0.0000,0.0816,0.0816
illegal,10,0.0000,0.1181,0.1181,0.0000,0.0222,0.0222
misinformation,10,0.0000,0.1036,0.1036,0.0000,0.1136,0.1136
physical,6,0.0000,0.0435,0.0435,0.0000,0.0364,0.0364
