scope,category,total,avg_orig_wer,avg_adv_wer,avg_wer_delta,median_orig_wer,median_adv_wer
overall,all,66,0.003451,0.097631,0.094180,0.000000,0.044444
category,cyber,10,0.002273,0.107596,0.105323,0.000000,0.033850
category,fraud,10,0.020504,0.067507,0.047004,0.020408,0.070612
category,hate,10,0.000000,0.059597,0.059597,0.000000,0.044444
category,high,10,0.000000,0.161806,0.161806,0.000000,0.061650
category,illegal,10,0.000000,0.118139,0.118139,0.000000,0.011111
category,misinformation,10,0.000000,0.103639,0.103639,0.000000,0.101263
category,physical,6,0.000000,0.043469,0.043469,0.000000,0.027797
